food_key,nutrient,value_per_100g,unit,source,ifct_code,ifct_name
amaranth_seed_black,protein,14.59,g,IFCT 2017 via nodef/ifct2017 compositions/index.csv,A001,"Amaranth seed, black"
amaranth_seed_black,iron,9.33,mg,IFCT 2017 via nodef/ifct2017 compositions/index.csv,A001,"Amaranth seed, black"
amaranth_seed_black,calcium,181.0,mg,IFCT 2017 via nodef/ifct2017 compositions/index.csv,A001,"Amaranth seed, black"
amaranth_seed_black,vitamin_c,0.0,mg,IFCT 2017 via nodef/ifct2017 compositions/index.csv,A001,"Amaranth seed, black"
amaranth_seed_black,zinc,2.66,mg,IFCT 2017 via nodef/ifct2017 compositions/index.csv,A001,"Amaranth seed, black"
amaranth_seed_black,folate,27.44,ug,IFCT 2017 via nodef/ifct2017 compositions/index.csv,A001,"Amaranth seed, black"
amaranth_seed_black,vitamin_a,0.0,ug,IFCT 2017 via nodef/ifct2017 compositions/index.csv,A001,"Amaranth seed, black"
amaranth_seed_black,vitamin_d,58.67,ug,IFCT 2017 via nodef/ifct2017 compositions/index.csv,A001,"Amaranth seed, black"
amaranth_seed_pale_brown,protein,13.27,g,IFCT 2017 via nodef/ifct2017 compositions/index.csv,A002,"Amaranth seed, pale brown"
amaranth_seed_pale_brown,iron,8.02,mg,IFCT 2017 via nodef/ifct2017 compositions/index.csv,A002,"Amaranth seed, pale brown"
amaranth_seed_pale_brown,calcium,162.0,mg,IFCT 2017 via nodef/ifct2017 compositions/index.csv,A002,"Amaranth seed, pale brown"
amaranth_seed_pale_brown,vitamin_c,0.0,mg,IFCT 2017 via nodef/ifct2017 compositions/index.csv,A002,"Amaranth seed, pale brown"
amaranth_seed_pale_brown,zinc,2.52,mg,IFCT 2017 via nodef/ifct2017 compositions/index.csv,A002,"Amaranth seed, pale brown"
amaranth_seed_pale_brown,folate,24.65,ug,IFCT 2017 via nodef/ifct2017 compositions/index.csv,A002,"Amaranth seed, pale brown"
amaranth_seed_pale_brown,vitamin_a,0.0,ug,IFCT 2017 via nodef/ifct2017 compositions/index.csv,A002,"Amaranth seed, pale brown"
amaranth_seed_pale_brown,vitamin_d,53.98,ug,IFCT 2017 via nodef/ifct2017 compositions/index.csv,A002,"Amaranth seed, pale brown"
