code,name,scie,grup,regn,tags,food_key
A001,"Amaranth seed, black",Amaranthus cruentus,Cereals and Millets,1,vegetarian eggetarian fishetarian veg,amaranth_seed_black
A002,"Amaranth seed, pale brown",Amaranthus cruentus,Cereals and Millets,6,vegetarian eggetarian fishetarian veg,amaranth_seed_pale_brown
A003,Bajra,Pennisetum typhoideum,Cereals and Millets,6,vegetarian eggetarian fishetarian veg,bajra
A004,Barley,Hordeum vulgare,Cereals and Millets,6,vegetarian eggetarian fishetarian veg,barley
A005,Jowar,Sorghum vulgare,Cereals and Millets,6,vegetarian eggetarian fishetarian veg,jowar
A006,"Maize, dry",Zea mays,Cereals and Millets,6,vegetarian eggetarian fishetarian veg,maize_dry
A007,"Maize, tender, local",Zea mays,Cereals and Millets,6,vegetarian eggetarian fishetarian veg,maize_tender_local
A008,"Maize, tender, sweet",Zea mays,Cereals and Millets,4,vegetarian eggetarian fishetarian veg,maize_tender_sweet
A009,Quinoa,Chenopodium quinoa,Cereals and Millets,1,vegetarian eggetarian fishetarian veg,quinoa
A010,Ragi,Eleusine coracana,Cereals and Millets,5,vegetarian eggetarian fishetarian veg,ragi
A011,"Rice, flakes",Oryza sativa,Cereals and Millets,6,vegetarian eggetarian fishetarian veg,rice_flakes
A012,"Rice, puffed",Oryza sativa,Cereals and Millets,6,vegetarian eggetarian fishetarian veg,rice_puffed
A013,"Rice, raw, brown",Oryza sativa,Cereals and Millets,6,vegetarian eggetarian fishetarian veg,rice_raw_brown
A014,"Rice, parboiled, milled",Oryza sativa,Cereals and Millets,6,vegetarian eggetarian fishetarian veg,rice_parboiled_milled
A015,"Rice, raw, milled",Oryza sativa,Cereals and Millets,6,vegetarian eggetarian fishetarian veg,rice_raw_milled
A016,Samai,Panicum sumatrense,Cereals and Millets,6,vegetarian eggetarian fishetarian veg,samai
A017,Varagu,Setaria italica,Cereals and Millets,5,vegetarian eggetarian fishetarian veg,varagu
A018,"Wheat flour, refined",Triticum aestivum,Cereals and Millets,6,vegetarian eggetarian fishetarian veg,wheat_flour_refined
A019,"Wheat flour, atta",Triticum aestivum,Cereals and Millets,6,vegetarian eggetarian fishetarian veg,wheat_flour_atta
